_url,name,birth_year,weight,height,nationality,bmi,continent,avg_position,avg_delta
bruno-surra,Bruno Surra,1964.0,69.0,180.0,Italy,21.296296296296294,Europe,110,15.0
gerard-rue,Gerard Rue,1965.0,74.0,182.0,France,22.34029706557179,Europe,63,319.1081081081081
jan-maas,Jan Maas,1996.0,69.0,189.0,Netherlands,19.31636852271773,Europe,87,450.81632653061223
nathan-van-hooydonck,Nathan Van Hooydonck,1995.0,78.0,192.0,Belgium,21.158854166666668,Europe,83,645.7639751552795
jose-felix-parra,Jose Felix Parra,1997.0,55.0,171.0,Spain,18.80920625149619,Europe,68,294.0625
manuel-penalver,Manuel Penalver,1998.0,67.0,177.0,Spain,21.38593635289987,Europe,78,827.5
willy-moonen,Willy Moonen,1947.0,69.0,180.0,Belgium,21.296296296296294,Europe,29,250.0
chad-haga,Chad Haga,1988.0,71.5,191.0,United States,19.599243441791618,North America,93,647.6640625
joost-van-leijen,Joost van Leijen,1984.0,73.0,192.0,Netherlands,19.80251736111111,Europe,148,725.7241379310345
scott-davies,Scott Davies,1991.0,69.0,180.0,Great Britain,21.296296296296294,Europe,94,735.8653846153846
stian-remme,Stian Remme,1982.0,69.0,180.0,Norway,21.296296296296294,Europe,80,654.0
jose-angel-gomez-marchante,Jose Angel Gomez Marchante,1980.0,60.0,175.0,Spain,19.591836734693878,Europe,61,164.22457627118644
giuseppe-guerini,Giuseppe Guerini,1970.0,65.0,178.0,Italy,20.515086478979924,Europe,73,271.3613445378151
evgueny-anachkine,Evgueny Anachkine,1970.0,69.0,180.0,Russia,21.296296296296294,Asia,82,16.8
maurizio-biondo,Maurizio Biondo,1981.0,69.0,180.0,Italy,21.296296296296294,Europe,76,226.42857142857142
rony-martias,Rony Martias,1980.0,71.0,181.0,France,21.672110130948383,Europe,101,571.964705882353
eloy-teruel,Eloy Teruel,1982.0,73.0,181.0,Spain,22.282592106468055,Europe,121,719.1428571428571
julien-el-fares,Julien El Fares,1985.0,62.0,172.0,France,20.9572742022715,Europe,70,300.37264150943395
patrice-thevenard,Patrice Thevenard,1954.0,69.0,180.0,France,21.296296296296294,Europe,67,404.83870967741933
michal-paluta,Micha Paluta,1995.0,65.0,174.0,Poland,21.469150482230148,Europe,105,821.45
luc-suykerbuyk,Luc Suykerbuyk,1964.0,69.0,180.0,Netherlands,21.296296296296294,Europe,52,54.36363636363637
fabien-grellier,Fabien Grellier,1994.0,65.0,180.0,France,20.061728395061728,Europe,106,670.3
bernard-bourreau,Bernard Bourreau,1951.0,63.0,164.0,France,23.423557406305775,Europe,54,346.5754189944134
volker-ordowski,Volker Ordowski,1973.0,59.0,170.0,Germany,20.41522491349481,Europe,93,444.5857142857143
roy-schuiten,Roy Schuiten,1950.0,83.0,184.0,Netherlands,24.515595463137995,Europe,14,161.4090909090909
graeme-brown,Graeme Allen Brown,1979.0,76.0,180.0,Australia,23.456790123456788,Australia,115,603.6170212765958
alain-gallopin,Alain Gallopin,1957.0,69.0,180.0,France,21.296296296296294,Europe,40,1294.0
phillip-gaimon,Phillip Gaimon,1986.0,67.0,185.0,United States,19.576333089846603,North America,109,363.5
andrea-fedi,Andrea Fedi,1991.0,70.0,184.0,Italy,20.6758034026465,Europe,125,877.0416666666666
urs-graf,Urs Graf,1974.0,69.0,180.0,Switzerland,21.296296296296294,Europe,84,449.1764705882353
jean-claude-theilliere,Jean-Claude Theilliere,1944.0,69.0,180.0,France,21.296296296296294,Europe,23,730.0
paul-kimmage,Paul Kimmage,1962.0,69.0,180.0,Ireland,21.296296296296294,Europe,135,557.0344827586207
piotr-przydzial,Piotr Przydzia,1974.0,80.0,186.0,Poland,23.12406058503873,Europe,70,248.1764705882353
alessandro-vanotti,Alessandro Vanotti,1980.0,70.0,185.0,Italy,20.45288531775018,Europe,98,648.6018691588785
anthony-perez,Anthony Perez,1991.0,70.0,190.0,France,19.390581717451525,Europe,93,632.5564853556485
morten-hulgaard,Morten Hulgaard,1998.0,73.0,181.0,Denmark,22.282592106468055,Europe,103,484.5
andreas-dietziker,Andreas Dietziker,1982.0,67.0,179.0,Switzerland,20.91070815517618,Europe,88,515.2545454545455
alejandro-paleo,Alejandro Paleo,1981.0,69.0,180.0,Spain,21.296296296296294,Europe,143,967.0
thomas-gloag,Thomas Gloag,2001.0,60.0,181.0,Great Britain,18.314459265590184,Europe,79,499.70588235294116
samuel-blanco,Samuel Blanco,1994.0,69.0,180.0,Spain,21.296296296296294,Europe,68,459.57142857142856
sean-sullivan,Sean Sullivan,1978.0,69.0,180.0,Australia,21.296296296296294,Australia,44,170.0
gaetano-baronchelli,Gaetano Baronchelli,1952.0,69.0,180.0,Italy,21.296296296296294,Europe,102,661.8888888888889
mario-scirea,Mario Scirea,1964.0,80.0,193.0,Italy,21.47708663319821,Europe,95,426.8512585812357
hector-palacio,Hector Palacio,1969.0,63.0,167.0,Colombia,22.589551436050055,South America,85,282.1333333333333
julien-mazet,Julien Mazet,1981.0,69.0,180.0,France,21.296296296296294,Europe,100,415.4
roberto-giucolsi,Roberto Giucolsi,1968.0,69.0,180.0,Italy,21.296296296296294,Europe,141,149.8
leonardo-guidi,Leonardo Guidi,1974.0,69.0,180.0,Italy,21.296296296296294,Europe,90,524.4727272727273
aitor-alonso,Aitor Alonso,1980.0,69.0,180.0,Spain,21.296296296296294,Europe,116,539.9702970297029
noel-vanclooster,Noel Vanclooster,1943.0,69.0,180.0,Belgium,21.296296296296294,Europe,17,318.75
jesus-rodriguez-rodriguez,Jesus Rodriguez,1960.0,69.0,180.0,Spain,21.296296296296294,Europe,49,309.45
johann-van-zyl,Johann van Zyl,1991.0,72.0,190.0,South Africa,19.94459833795014,Africa,119,779.3064516129032
walter-beneteau,Walter Beneteau,1972.0,67.0,175.0,France,21.877551020408163,Europe,70,473.9283154121864
noan-lelarge,Noan Lelarge,1975.0,69.0,180.0,France,21.296296296296294,Europe,111,214.53846153846155
eric-van-lancker,Eric Van Lancker,1961.0,69.0,180.0,Belgium,21.296296296296294,Europe,72,347.5833333333333
dylan-sunderland,Dylan Sunderland,1996.0,67.0,180.0,Australia,20.679012345679013,Australia,104,881.6964285714286
corrado-serina,Corrado Serina,1975.0,73.0,180.0,Italy,22.530864197530864,Europe,131,729.6785714285714
luca-maggioni,Luca Maggioni,1973.0,69.0,180.0,Italy,21.296296296296294,Europe,161,640.0
eduardo-sepulveda,Eduardo Sepulveda,1991.0,59.0,173.0,Argentina,19.713321527615356,South America,74,444.13358778625957
cedric-beullens,Cedric Beullens,1997.0,79.0,190.0,Belgium,21.883656509695292,Europe,72,680.6666666666666
christian-muselet,Christian Muselet,1952.0,69.0,180.0,France,21.296296296296294,Europe,53,295.1515151515151
egor-silin,Egor Silin,1988.0,61.0,177.0,Russia,19.4707778735357,Asia,78,313.3348017621145
stephane-berges,Stephane Berges,1975.0,68.0,181.0,France,20.756387167668876,Europe,120,600.9101123595506
bruce-biddle,Bruce Biddle,1949.0,64.0,173.0,New Zealand,21.383941996057334,Australia,22,83.6
marc-siemons,Marc Siemons,1966.0,69.0,180.0,Netherlands,21.296296296296294,Europe,23,397.2
theo-smit,Theo Smit,1951.0,69.0,180.0,Netherlands,21.296296296296294,Europe,3,150.0
andrew-fenn,Andrew Fenn,1990.0,79.0,186.0,Great Britain,22.835009827725745,Europe,104,608.8333333333334
jeffry-romero,Jeffry Romero,1989.0,55.0,176.0,Colombia,17.75568181818182,South America,120,920.2272727272727
luigi-sestili,Luigi Sestili,1983.0,69.0,180.0,Italy,21.296296296296294,Europe,66,837.0
iban-herrero-atienzar,Ivan Herrero,1974.0,69.0,180.0,Spain,21.296296296296294,Europe,95,652.6
remigius-lupeikis,Remigius Lupeikis,1964.0,80.0,182.0,Lithuania,24.151672503320853,Europe,85,580.8214285714286
jules-bruessing,Jules Bruessing,1949.0,69.0,180.0,Netherlands,21.296296296296294,Europe,28,714.0
theo-eltink,Theo Eltink,1981.0,69.0,180.0,Netherlands,21.296296296296294,Europe,76,565.2463768115942
willy-vigouroux,Willy Vigouroux,1956.0,69.0,180.0,Belgium,21.296296296296294,Europe,39,284.3636363636364
jens-wallays,Jens Wallays,1992.0,64.0,176.0,Belgium,20.66115702479339,Europe,155,770.0
mads-pedersen,Mads Pedersen,1995.0,70.0,180.0,Denmark,21.604938271604937,Europe,81,706.1094527363184
jose-herrada,Jose Herrada,1985.0,65.0,175.0,Spain,21.224489795918366,Europe,72,365.9492600422833
idar-andersen,Idar Andersen,1999.0,69.0,182.0,Norway,20.830817534114235,Europe,125,761.5714285714286
sylvain-moniquet,Sylvain Moniquet,1998.0,61.0,175.0,Belgium,19.918367346938776,Europe,70,431.9816513761468
pedro-miguel-lopes,Pedro Miguel Lopes,1999.0,68.0,180.0,Portugal,20.98765432098765,Europe,97,531.2
adriano-baffi,Adriano Baffi,1962.0,70.0,176.0,Italy,22.59814049586777,Europe,40,283.10309278350513
thibau-nys,Thibau Nys,2002.0,64.0,176.0,Belgium,20.66115702479339,Europe,37,227.33333333333334
gert-steegmans,Gert Steegmans,1980.0,82.0,190.0,Belgium,22.714681440443215,Europe,100,577.2541254125413
marco-haller,Marco Haller,1991.0,72.0,178.0,Austria,22.724403484408533,Europe,104,707.6208955223881
matthew-holmes,Matthew Holmes,1993.0,67.0,178.0,Great Britain,21.146319909102385,Europe,99,694.1293103448276
moreno-hofland,Moreno Hofland,1991.0,71.0,179.0,Netherlands,22.15910864205237,Europe,89,651.7768595041322
venancio-teran,Venancio Teran,1961.0,69.0,180.0,France,21.296296296296294,Europe,47,348.0
jos-van-emden,Jos van Emden,1985.0,78.0,186.0,Netherlands,22.54595907041276,Europe,93,664.6935866983373
michael-matthews,Michael Matthews,1990.0,72.0,178.0,Australia,22.724403484408533,Australia,54,450.21443298969075
juan-ayuso-pesquera,Juan Ayuso,2002.0,65.0,183.0,Spain,19.409358296754156,Europe,22,50.698113207547166
jorge-azanza,Jorge Azanza,1982.0,68.0,185.0,Spain,19.86851716581446,Europe,86,459.5798319327731
valentin-dorronsoro,Valentin Dorronsoro,1959.0,69.0,180.0,Spain,21.296296296296294,Europe,66,379.6
eddy-verstraeten,Eddy Verstraeten,1948.0,69.0,180.0,Belgium,21.296296296296294,Europe,89,457.0
peter-mazur,Peter Mazur,1982.0,73.0,177.0,Poland,23.301094832264035,Europe,120,692.08
paulo-jose-dos-santos-ferreira,Paulo Jose dos Santos Ferreira,1962.0,69.0,180.0,Portugal,21.296296296296294,Europe,116,736.2941176470588
wim-omloop,Wim Omloop,1971.0,69.0,180.0,Belgium,21.296296296296294,Europe,55,194.22222222222223
sascha-henrix,Sascha Henrix,1973.0,69.0,180.0,Germany,21.296296296296294,Europe,90,458.0810810810811
manuele-tarozzi,Manuele Tarozzi,1998.0,69.0,180.0,Italy,21.296296296296294,Europe,144,655.75
einer-rubio,Einer Rubio,1998.0,56.0,164.0,Colombia,20.820939916716245,South America,64,386.78350515463916
roy-knickman,Roy Knickman,1965.0,69.0,180.0,United States,21.296296296296294,North America,124,607.7297297297297
alberto-minetti,Alberto Minetti,1957.0,69.0,181.0,Italy,21.06162815542871,Europe,24,11.0
luigi-della-bianca,Luigi Della Bianca,1972.0,69.0,180.0,Italy,21.296296296296294,Europe,102,508.7142857142857
jannes-slendebroek,Jannes Slendebroek,1959.0,69.0,180.0,Netherlands,21.296296296296294,Europe,13,0.0
primoz-cerin,Primoz Cerin,1962.0,69.0,180.0,Yugoslavia,21.296296296296294,Europe,84,299.75
santiago-perez,Santiago Perez,1977.0,61.0,179.0,Spain,19.038107424861895,Europe,67,241.27333333333334
francisco-leon,Francisco Leon,1973.0,69.0,180.0,Spain,21.296296296296294,Europe,96,469.15441176470586
rein-taaramae,Rein Taaramae,1987.0,68.0,186.0,Estonia,19.65545149728292,Europe,76,408.85982905982905
anselmo-fuerte-abelenda,Anselmo Fuerte,1962.0,69.0,180.0,Spain,21.296296296296294,Europe,74,239.27551020408163
sebastien-chavanel,Sebastien Chavanel,1981.0,77.0,183.0,France,22.99262444384723,Europe,106,620.2627118644068
andrei-nechita,Andrei Nechita,1988.0,71.0,183.0,Romania,21.20099137030069,Europe,89,510.0
tadej-pogacar,Tadej Pogacar,1998.0,66.0,176.0,Slovenia,21.306818181818183,Europe,14,102.3012048192771
jay-sweet,Jay Sweet,1975.0,69.0,175.0,Australia,22.53061224489796,Australia,88,550.6551724137931
nic-hamilton,Nic Hamilton,1986.0,69.0,180.0,Canada,21.296296296296294,North America,73,437.5
enrico-barbin,Enrico Barbin,1990.0,60.0,166.0,Italy,21.773842357381334,Europe,109,687.4628099173553
alain-van-den-bossche,Alain Van Den Bossche,1965.0,69.0,180.0,Belgium,21.296296296296294,Europe,32,169.54545454545453
mario-de-sarraga,Mario de Sarraga,1980.0,69.0,180.0,Spain,21.296296296296294,Europe,79,515.7058823529412
hubert-arbes,Hubert Arbes,1950.0,69.0,180.0,France,21.296296296296294,Europe,72,375.65384615384613
kevin-seeldraeyers,Kevin Seeldraeyers,1986.0,60.0,174.0,Belgium,19.817677368212443,Europe,70,455.52777777777777
peter-van-de-knoop,Peter Van De Knoop,1957.0,69.0,180.0,Netherlands,21.296296296296294,Europe,14,560.0
daniele-righi,Daniele Righi,1976.0,70.0,180.0,Italy,21.604938271604937,Europe,100,518.3125
felix-gall,Felix Gall,1998.0,66.0,180.0,Austria,20.37037037037037,Europe,52,255.16666666666666
jordi-meeus,Jordi Meeus,1998.0,80.0,190.0,Belgium,22.1606648199446,Europe,101,840.9509803921569
louis-de-koning,Louis de Koning,1967.0,69.0,180.0,Netherlands,21.296296296296294,Europe,59,480.15
harm-ottenbros,Harm Ottenbros,1943.0,69.0,180.0,Netherlands,21.296296296296294,Europe,19,18.0
stephan-joho,Stephan Joho,1963.0,69.0,180.0,Switzerland,21.296296296296294,Europe,19,126.82692307692308
